image,crop_file,bbox,class_id,confidence,ocr_text
K-003351-018147-035206_0_2_0_2_90_000_200.png,K-003351-018147-035206_0_2_0_2_90_000_200_crop0.png,"[400, 202, 585, 385]",49,0.9639,
K-003351-018147-036637_0_2_0_2_70_000_200.png,K-003351-018147-036637_0_2_0_2_70_000_200_crop0.png,"[195, 324, 394, 568]",15,0.9568,
K-003351-018147-036637_0_2_0_2_70_000_200.png,K-003351-018147-036637_0_2_0_2_70_000_200_crop1.png,"[423, 885, 612, 1073]",49,0.9516,
K-003351-018147-036637_0_2_0_2_75_000_200.png,K-003351-018147-036637_0_2_0_2_75_000_200_crop0.png,"[543, 649, 745, 905]",15,0.9612,
K-003351-018147-036637_0_2_0_2_90_000_200.png,K-003351-018147-036637_0_2_0_2_90_000_200_crop1.png,"[584, 741, 781, 989]",15,0.9558,
K-003351-021325-041768_0_2_0_2_70_000_200.png,K-003351-021325-041768_0_2_0_2_70_000_200_crop1.png,"[452, 873, 641, 1063]",49,0.9751,
K-003351-021325-041768_0_2_0_2_70_000_200.png,K-003351-021325-041768_0_2_0_2_70_000_200_crop2.png,"[607, 289, 786, 503]",40,0.9665,
K-003351-021325-041768_0_2_0_2_75_000_200.png,K-003351-021325-041768_0_2_0_2_75_000_200_crop0.png,"[298, 166, 482, 354]",49,0.9678,
K-003351-021325-041768_0_2_0_2_75_000_200.png,K-003351-021325-041768_0_2_0_2_75_000_200_crop1.png,"[137, 724, 322, 947]",40,0.9674,
K-003351-021325-041768_0_2_0_2_90_000_200.png,K-003351-021325-041768_0_2_0_2_90_000_200_crop1.png,"[339, 226, 523, 408]",49,0.9696,
K-003351-021325-041768_0_2_0_2_90_000_200.png,K-003351-021325-041768_0_2_0_2_90_000_200_crop2.png,"[179, 812, 363, 1029]",40,0.9677,
K-003351-022074-031863_0_2_0_2_70_000_200.png,K-003351-022074-031863_0_2_0_2_70_000_200_crop0.png,"[185, 264, 390, 470]",39,0.9851,
K-003351-022074-031863_0_2_0_2_70_000_200.png,K-003351-022074-031863_0_2_0_2_70_000_200_crop1.png,"[674, 309, 859, 497]",19,0.9783,
K-003351-022074-031863_0_2_0_2_70_000_200.png,K-003351-022074-031863_0_2_0_2_70_000_200_crop2.png,"[362, 879, 552, 1071]",49,0.9581,
K-003351-022074-031863_0_2_0_2_75_000_200.png,K-003351-022074-031863_0_2_0_2_75_000_200_crop0.png,"[551, 768, 758, 980]",39,0.9795,
K-003351-022074-031863_0_2_0_2_75_000_200.png,K-003351-022074-031863_0_2_0_2_75_000_200_crop1.png,"[62, 725, 251, 917]",19,0.9784,
K-003351-022074-031863_0_2_0_2_75_000_200.png,K-003351-022074-031863_0_2_0_2_75_000_200_crop2.png,"[384, 162, 567, 349]",49,0.9624,
K-003351-022074-031863_0_2_0_2_90_000_200.png,K-003351-022074-031863_0_2_0_2_90_000_200_crop0.png,"[588, 857, 794, 1062]",39,0.9817,
K-003351-022074-031863_0_2_0_2_90_000_200.png,K-003351-022074-031863_0_2_0_2_90_000_200_crop1.png,"[105, 813, 291, 1001]",19,0.9619,
K-003351-022074-031863_0_2_0_2_90_000_200.png,K-003351-022074-031863_0_2_0_2_90_000_200_crop2.png,"[426, 220, 611, 402]",49,0.9472,
K-003351-022074-032310_0_2_0_2_70_000_200.png,K-003351-022074-032310_0_2_0_2_70_000_200_crop0.png,"[687, 264, 869, 449]",19,0.9704,
K-003351-022074-032310_0_2_0_2_70_000_200.png,K-003351-022074-032310_0_2_0_2_70_000_200_crop1.png,"[393, 860, 583, 1052]",49,0.9579,
K-003351-022074-032310_0_2_0_2_70_000_200.png,K-003351-022074-032310_0_2_0_2_70_000_200_crop2.png,"[70, 217, 407, 467]",1,0.9316,
K-003351-022074-032310_0_2_0_2_75_000_200.png,K-003351-022074-032310_0_2_0_2_75_000_200_crop0.png,"[47, 761, 236, 958]",19,0.965,
K-003351-022074-032310_0_2_0_2_75_000_200.png,K-003351-022074-032310_0_2_0_2_75_000_200_crop1.png,"[355, 168, 535, 352]",49,0.9648,
K-003351-022074-032310_0_2_0_2_75_000_200.png,K-003351-022074-032310_0_2_0_2_75_000_200_crop2.png,"[526, 710, 886, 991]",1,0.9366,
K-003351-022074-032310_0_2_0_2_90_000_200.png,K-003351-022074-032310_0_2_0_2_90_000_200_crop0.png,"[92, 853, 278, 1041]",19,0.9779,
K-003351-022074-032310_0_2_0_2_90_000_200.png,K-003351-022074-032310_0_2_0_2_90_000_200_crop1.png,"[397, 224, 580, 406]",49,0.9593,
K-003351-022074-032310_0_2_0_2_90_000_200.png,K-003351-022074-032310_0_2_0_2_90_000_200_crop2.png,"[569, 816, 919, 1085]",1,0.9215,
K-003351-022074-033880_0_2_0_2_70_000_200.png,K-003351-022074-033880_0_2_0_2_70_000_200_crop0.png,"[476, 248, 910, 523]",2,0.9805,
K-003351-022074-033880_0_2_0_2_70_000_200.png,K-003351-022074-033880_0_2_0_2_70_000_200_crop1.png,"[108, 322, 294, 512]",19,0.9744,
K-003351-022074-033880_0_2_0_2_70_000_200.png,K-003351-022074-033880_0_2_0_2_70_000_200_crop2.png,"[392, 877, 584, 1070]",49,0.9648,
K-003351-022074-033880_0_2_0_2_75_000_200.png,K-003351-022074-033880_0_2_0_2_75_000_200_crop0.png,"[353, 161, 540, 350]",49,0.9681,
K-003351-022074-033880_0_2_0_2_75_000_200.png,K-003351-022074-033880_0_2_0_2_75_000_200_crop2.png,"[649, 711, 836, 905]",19,0.953,
K-003351-022074-033880_0_2_0_2_90_000_200.png,K-003351-022074-033880_0_2_0_2_90_000_200_crop1.png,"[396, 221, 581, 404]",49,0.9574,
K-003351-022074-033880_0_2_0_2_90_000_200.png,K-003351-022074-033880_0_2_0_2_90_000_200_crop2.png,"[687, 805, 872, 991]",19,0.9571,
K-003351-022074-041768_0_2_0_2_70_000_200.png,K-003351-022074-041768_0_2_0_2_70_000_200_crop1.png,"[612, 289, 796, 479]",19,0.9622,
K-003351-022074-041768_0_2_0_2_70_000_200.png,K-003351-022074-041768_0_2_0_2_70_000_200_crop2.png,"[396, 889, 585, 1079]",49,0.9617,
K-003351-022074-041768_0_2_0_2_75_000_200.png,K-003351-022074-041768_0_2_0_2_75_000_200_crop0.png,"[125, 745, 314, 942]",19,0.9717,
K-003351-022074-041768_0_2_0_2_75_000_200.png,K-003351-022074-041768_0_2_0_2_75_000_200_crop1.png,"[351, 147, 536, 336]",49,0.9647,
K-003351-022074-041768_0_2_0_2_90_000_200.png,K-003351-022074-041768_0_2_0_2_90_000_200_crop0.png,"[169, 838, 354, 1024]",19,0.9634,
K-003351-022074-041768_0_2_0_2_90_000_200.png,K-003351-022074-041768_0_2_0_2_90_000_200_crop1.png,"[393, 208, 579, 391]",49,0.9604,
K-003351-029667-031863_0_2_0_2_70_000_200.png,K-003351-029667-031863_0_2_0_2_70_000_200_crop0.png,"[178, 248, 382, 453]",39,0.9814,
K-003351-029667-031863_0_2_0_2_70_000_200.png,K-003351-029667-031863_0_2_0_2_70_000_200_crop1.png,"[370, 855, 560, 1045]",49,0.9601,
K-003351-029667-031863_0_2_0_2_70_000_200.png,K-003351-029667-031863_0_2_0_2_70_000_200_crop2.png,"[581, 337, 805, 560]",18,0.957,
K-003351-029667-031863_0_2_0_2_75_000_200.png,K-003351-029667-031863_0_2_0_2_75_000_200_crop0.png,"[559, 787, 768, 998]",39,0.9861,
K-003351-029667-031863_0_2_0_2_75_000_200.png,K-003351-029667-031863_0_2_0_2_75_000_200_crop1.png,"[120, 662, 351, 892]",18,0.9636,
K-003351-029667-031863_0_2_0_2_75_000_200.png,K-003351-029667-031863_0_2_0_2_75_000_200_crop2.png,"[375, 182, 560, 372]",49,0.9622,
K-003351-029667-031863_0_2_0_2_90_000_200.png,K-003351-029667-031863_0_2_0_2_90_000_200_crop0.png,"[595, 875, 803, 1081]",39,0.988,
K-003351-029667-031863_0_2_0_2_90_000_200.png,K-003351-029667-031863_0_2_0_2_90_000_200_crop1.png,"[417, 244, 603, 426]",49,0.9699,
K-003351-029667-031863_0_2_0_2_90_000_200.png,K-003351-029667-031863_0_2_0_2_90_000_200_crop2.png,"[163, 748, 391, 973]",18,0.9602,
K-003351-029667-032310_0_2_0_2_70_000_200.png,K-003351-029667-032310_0_2_0_2_70_000_200_crop0.png,"[637, 253, 856, 473]",18,0.9759,
K-003351-029667-032310_0_2_0_2_70_000_200.png,K-003351-029667-032310_0_2_0_2_70_000_200_crop1.png,"[410, 843, 599, 1036]",49,0.9588,
K-003351-029667-032310_0_2_0_2_70_000_200.png,K-003351-029667-032310_0_2_0_2_70_000_200_crop2.png,"[72, 240, 435, 463]",1,0.9245,
K-003351-029667-032310_0_2_0_2_75_000_200.png,K-003351-029667-032310_0_2_0_2_75_000_200_crop0.png,"[338, 182, 520, 368]",49,0.9617,
K-003351-029667-032310_0_2_0_2_75_000_200.png,K-003351-029667-032310_0_2_0_2_75_000_200_crop1.png,"[62, 743, 292, 975]",18,0.9602,
K-003351-029667-032310_0_2_0_2_75_000_200.png,K-003351-029667-032310_0_2_0_2_75_000_200_crop2.png,"[502, 719, 880, 958]",1,0.9225,
K-003351-029667-032310_0_2_0_2_90_000_200.png,K-003351-029667-032310_0_2_0_2_90_000_200_crop1.png,"[379, 241, 563, 423]",49,0.9575,
K-003351-029667-032310_0_2_0_2_90_000_200.png,K-003351-029667-032310_0_2_0_2_90_000_200_crop2.png,"[540, 820, 913, 1056]",1,0.9286,
K-003351-029667-033880_0_2_0_2_70_000_200.png,K-003351-029667-033880_0_2_0_2_70_000_200_crop0.png,"[573, 172, 873, 592]",2,0.9672,
K-003351-029667-033880_0_2_0_2_70_000_200.png,K-003351-029667-033880_0_2_0_2_70_000_200_crop2.png,"[407, 846, 597, 1038]",49,0.9546,
K-003351-029667-033880_0_2_0_2_75_000_200.png,K-003351-029667-033880_0_2_0_2_75_000_200_crop0.png,"[338, 191, 524, 380]",49,0.9687,
K-003351-029667-033880_0_2_0_2_90_000_200.png,K-003351-029667-033880_0_2_0_2_90_000_200_crop2.png,"[98, 707, 393, 1139]",2,0.9509,
K-003351-029667-041768_0_2_0_2_70_000_200.png,K-003351-029667-041768_0_2_0_2_70_000_200_crop1.png,"[408, 887, 594, 1078]",49,0.9662,
K-003351-029667-041768_0_2_0_2_75_000_200.png,K-003351-029667-041768_0_2_0_2_75_000_200_crop0.png,"[111, 696, 344, 929]",18,0.9646,
K-003351-029667-041768_0_2_0_2_75_000_200.png,K-003351-029667-041768_0_2_0_2_75_000_200_crop2.png,"[341, 154, 526, 343]",49,0.9543,
K-003351-029667-041768_0_2_0_2_90_000_200.png,K-003351-029667-041768_0_2_0_2_90_000_200_crop1.png,"[383, 213, 568, 395]",49,0.9604,
K-003351-029667-041768_0_2_0_2_90_000_200.png,K-003351-029667-041768_0_2_0_2_90_000_200_crop2.png,"[154, 785, 382, 1010]",18,0.9594,
K-003351-031863-035206_0_2_0_2_70_000_200.png,K-003351-031863-035206_0_2_0_2_70_000_200_crop0.png,"[163, 284, 370, 491]",39,0.9872,
K-003351-031863-035206_0_2_0_2_70_000_200.png,K-003351-031863-035206_0_2_0_2_70_000_200_crop1.png,"[409, 891, 599, 1083]",49,0.9665,
K-003351-031863-035206_0_2_0_2_75_000_200.png,K-003351-031863-035206_0_2_0_2_75_000_200_crop1.png,"[338, 148, 523, 336]",49,0.9644,
K-003351-031863-035206_0_2_0_2_75_000_200.png,K-003351-031863-035206_0_2_0_2_75_000_200_crop2.png,"[125, 554, 385, 951]",41,0.9439,
K-003351-031863-035206_0_2_0_2_90_000_200.png,K-003351-031863-035206_0_2_0_2_90_000_200_crop1.png,"[380, 206, 564, 388]",49,0.961,
K-003351-031863-035206_0_2_0_2_90_000_200.png,K-003351-031863-035206_0_2_0_2_90_000_200_crop2.png,"[166, 646, 424, 1038]",41,0.9521,
K-003351-031863-036637_0_2_0_2_70_000_200.png,K-003351-031863-036637_0_2_0_2_70_000_200_crop0.png,"[638, 320, 843, 527]",39,0.986,
K-003351-031863-036637_0_2_0_2_70_000_200.png,K-003351-031863-036637_0_2_0_2_70_000_200_crop1.png,"[229, 315, 428, 555]",15,0.9612,
K-003351-031863-036637_0_2_0_2_70_000_200.png,K-003351-031863-036637_0_2_0_2_70_000_200_crop2.png,"[391, 860, 581, 1052]",49,0.9581,
K-003351-031863-036637_0_2_0_2_75_000_200.png,K-003351-031863-036637_0_2_0_2_75_000_200_crop0.png,"[81, 704, 289, 916]",39,0.9836,
K-003351-031863-036637_0_2_0_2_75_000_200.png,K-003351-031863-036637_0_2_0_2_75_000_200_crop1.png,"[356, 177, 540, 365]",49,0.9694,
K-003351-031863-036637_0_2_0_2_75_000_200.png,K-003351-031863-036637_0_2_0_2_75_000_200_crop2.png,"[508, 661, 713, 916]",15,0.9601,
K-003351-031863-036637_0_2_0_2_90_000_200.png,K-003351-031863-036637_0_2_0_2_90_000_200_crop0.png,"[123, 791, 329, 995]",39,0.9885,
K-003351-031863-036637_0_2_0_2_90_000_200.png,K-003351-031863-036637_0_2_0_2_90_000_200_crop1.png,"[547, 751, 751, 995]",15,0.9669,
K-003351-031863-036637_0_2_0_2_90_000_200.png,K-003351-031863-036637_0_2_0_2_90_000_200_crop2.png,"[398, 237, 583, 419]",49,0.9659,
K-003351-031863-038162_0_2_0_2_70_000_200.png,K-003351-031863-038162_0_2_0_2_70_000_200_crop0.png,"[637, 325, 843, 532]",39,0.986,
K-003351-031863-038162_0_2_0_2_70_000_200.png,K-003351-031863-038162_0_2_0_2_70_000_200_crop2.png,"[397, 901, 585, 1092]",49,0.9623,
K-003351-031863-038162_0_2_0_2_75_000_200.png,K-003351-031863-038162_0_2_0_2_75_000_200_crop0.png,"[81, 699, 291, 911]",39,0.9856,
K-003351-031863-038162_0_2_0_2_75_000_200.png,K-003351-031863-038162_0_2_0_2_75_000_200_crop2.png,"[352, 139, 535, 328]",49,0.9653,
K-003351-031863-038162_0_2_0_2_90_000_200.png,K-003351-031863-038162_0_2_0_2_90_000_200_crop0.png,"[124, 785, 330, 991]",39,0.9866,
K-003351-031863-038162_0_2_0_2_90_000_200.png,K-003351-031863-038162_0_2_0_2_90_000_200_crop2.png,"[393, 198, 577, 380]",49,0.961,
K-003351-032310-035206_0_2_0_2_70_000_200.png,K-003351-032310-035206_0_2_0_2_70_000_200_crop0.png,"[406, 855, 596, 1047]",49,0.9628,
K-003351-032310-035206_0_2_0_2_70_000_200.png,K-003351-032310-035206_0_2_0_2_70_000_200_crop2.png,"[588, 170, 824, 505]",1,0.938,
K-003351-032310-035206_0_2_0_2_75_000_200.png,K-003351-032310-035206_0_2_0_2_75_000_200_crop0.png,"[341, 172, 523, 357]",49,0.965,
K-003351-032310-035206_0_2_0_2_75_000_200.png,K-003351-032310-035206_0_2_0_2_75_000_200_crop1.png,"[489, 620, 847, 960]",41,0.9486,
K-003351-032310-035206_0_2_0_2_75_000_200.png,K-003351-032310-035206_0_2_0_2_75_000_200_crop2.png,"[89, 669, 345, 1038]",1,0.9267,
K-003351-032310-035206_0_2_0_2_90_000_200.png,K-003351-032310-035206_0_2_0_2_90_000_200_crop0.png,"[383, 229, 566, 412]",49,0.9622,
K-003351-032310-035206_0_2_0_2_90_000_200.png,K-003351-032310-035206_0_2_0_2_90_000_200_crop1.png,"[131, 765, 385, 1136]",1,0.9404,
K-003351-032310-036637_0_2_0_2_70_000_200.png,K-003351-032310-036637_0_2_0_2_70_000_200_crop0.png,"[379, 851, 568, 1043]",49,0.951,
K-003351-032310-036637_0_2_0_2_70_000_200.png,K-003351-032310-036637_0_2_0_2_70_000_200_crop2.png,"[621, 185, 933, 476]",1,0.9385,
K-003351-032310-036637_0_2_0_2_75_000_200.png,K-003351-032310-036637_0_2_0_2_75_000_200_crop0.png,"[369, 176, 549, 361]",49,0.9618,
K-003351-032310-036637_0_2_0_2_75_000_200.png,K-003351-032310-036637_0_2_0_2_75_000_200_crop2.png,"[0, 701, 309, 1020]",1,0.9413,
K-003351-032310-036637_0_2_0_2_90_000_200.png,K-003351-032310-036637_0_2_0_2_90_000_200_crop1.png,"[410, 233, 592, 416]",49,0.9637,
K-003351-032310-036637_0_2_0_2_90_000_200.png,K-003351-032310-036637_0_2_0_2_90_000_200_crop2.png,"[27, 801, 351, 1118]",1,0.9477,
K-003351-032310-038162_0_2_0_2_70_000_200.png,K-003351-032310-038162_0_2_0_2_70_000_200_crop1.png,"[380, 856, 568, 1047]",49,0.9567,
K-003351-032310-038162_0_2_0_2_70_000_200.png,K-003351-032310-038162_0_2_0_2_70_000_200_crop2.png,"[629, 216, 931, 508]",1,0.9353,
K-003351-032310-038162_0_2_0_2_75_000_200.png,K-003351-032310-038162_0_2_0_2_75_000_200_crop0.png,"[368, 172, 548, 357]",49,0.9693,
K-003351-032310-038162_0_2_0_2_75_000_200.png,K-003351-032310-038162_0_2_0_2_75_000_200_crop2.png,"[0, 664, 299, 990]",1,0.9404,
K-003351-032310-038162_0_2_0_2_90_000_200.png,K-003351-032310-038162_0_2_0_2_90_000_200_crop0.png,"[409, 231, 592, 412]",49,0.9671,
K-003351-032310-038162_0_2_0_2_90_000_200.png,K-003351-032310-038162_0_2_0_2_90_000_200_crop2.png,"[33, 761, 343, 1083]",1,0.9355,
K-003351-033880-035206_0_2_0_2_70_000_200.png,K-003351-033880-035206_0_2_0_2_70_000_200_crop0.png,"[446, 849, 634, 1039]",49,0.9623,
K-003351-033880-035206_0_2_0_2_75_000_200.png,K-003351-033880-035206_0_2_0_2_75_000_200_crop0.png,"[304, 190, 489, 378]",49,0.9648,
K-003351-033880-036637_0_2_0_2_70_000_200.png,K-003351-033880-036637_0_2_0_2_70_000_200_crop1.png,"[173, 332, 354, 585]",15,0.9633,
K-003351-033880-036637_0_2_0_2_70_000_200.png,K-003351-033880-036637_0_2_0_2_70_000_200_crop2.png,"[553, 190, 852, 611]",2,0.9622,
K-003351-033880-036637_0_2_0_2_75_000_200.png,K-003351-033880-036637_0_2_0_2_75_000_200_crop0.png,"[344, 167, 528, 354]",49,0.9671,
K-003351-033880-036637_0_2_0_2_90_000_200.png,K-003351-033880-036637_0_2_0_2_90_000_200_crop0.png,"[387, 227, 571, 408]",49,0.9734,
K-003351-033880-036637_0_2_0_2_90_000_200.png,K-003351-033880-036637_0_2_0_2_90_000_200_crop1.png,"[625, 721, 807, 980]",15,0.9546,
K-003351-033880-036637_0_2_0_2_90_000_200.png,K-003351-033880-036637_0_2_0_2_90_000_200_crop2.png,"[118, 687, 412, 1114]",2,0.9444,
K-003351-033880-038162_0_2_0_2_70_000_200.png,K-003351-033880-038162_0_2_0_2_70_000_200_crop1.png,"[560, 192, 866, 613]",2,0.9661,
K-003351-033880-038162_0_2_0_2_75_000_200.png,K-003351-033880-038162_0_2_0_2_75_000_200_crop1.png,"[336, 169, 522, 358]",49,0.9666,
K-003351-033880-038162_0_2_0_2_90_000_200.png,K-003351-033880-038162_0_2_0_2_90_000_200_crop1.png,"[379, 231, 562, 411]",49,0.963,
K-003351-035206-041768_0_2_0_2_70_000_200.png,K-003351-035206-041768_0_2_0_2_70_000_200_crop0.png,"[452, 873, 641, 1063]",49,0.9746,
K-003351-035206-041768_0_2_0_2_75_000_200.png,K-003351-035206-041768_0_2_0_2_75_000_200_crop0.png,"[297, 166, 482, 354]",49,0.9708,
K-003351-035206-041768_0_2_0_2_90_000_200.png,K-003351-035206-041768_0_2_0_2_90_000_200_crop1.png,"[339, 227, 523, 408]",49,0.9688,
K-003351-036637-041768_0_2_0_2_70_000_200.png,K-003351-036637-041768_0_2_0_2_70_000_200_crop1.png,"[461, 831, 649, 1022]",49,0.9644,
K-003351-036637-041768_0_2_0_2_70_000_200.png,K-003351-036637-041768_0_2_0_2_70_000_200_crop2.png,"[620, 257, 803, 507]",15,0.9584,
K-003351-036637-041768_0_2_0_2_75_000_200.png,K-003351-036637-041768_0_2_0_2_75_000_200_crop1.png,"[289, 206, 474, 393]",49,0.9646,
K-003351-036637-041768_0_2_0_2_75_000_200.png,K-003351-036637-041768_0_2_0_2_75_000_200_crop2.png,"[119, 711, 305, 976]",15,0.9432,
K-003351-036637-041768_0_2_0_2_90_000_200.png,K-003351-036637-041768_0_2_0_2_90_000_200_crop0.png,"[162, 800, 345, 1055]",15,0.9665,
K-003351-036637-041768_0_2_0_2_90_000_200.png,K-003351-036637-041768_0_2_0_2_90_000_200_crop2.png,"[330, 268, 515, 450]",49,0.958,
K-003351-038162-041768_0_2_0_2_70_000_200.png,K-003351-038162-041768_0_2_0_2_70_000_200_crop2.png,"[440, 861, 628, 1052]",49,0.9486,
K-003351-038162-041768_0_2_0_2_75_000_200.png,K-003351-038162-041768_0_2_0_2_75_000_200_crop1.png,"[309, 177, 494, 366]",49,0.967,
K-003351-038162-041768_0_2_0_2_90_000_200.png,K-003351-038162-041768_0_2_0_2_90_000_200_crop1.png,"[350, 237, 535, 419]",49,0.9592,
K-003483-016232-019861-022347_0_2_0_2_70_000_200.png,K-003483-016232-019861-022347_0_2_0_2_70_000_200_crop0.png,"[642, 277, 858, 446]",5,0.9691,
K-003483-016232-019861-022347_0_2_0_2_70_000_200.png,K-003483-016232-019861-022347_0_2_0_2_70_000_200_crop1.png,"[641, 859, 855, 1068]",52,0.9627,
K-003483-016232-019861-022347_0_2_0_2_70_000_200.png,K-003483-016232-019861-022347_0_2_0_2_70_000_200_crop2.png,"[152, 219, 396, 438]",3,0.959,
K-003483-016232-019861-022347_0_2_0_2_70_000_200.png,K-003483-016232-019861-022347_0_2_0_2_70_000_200_crop3.png,"[144, 899, 340, 1092]",20,0.9582,
K-003483-016232-019861-022347_0_2_0_2_75_000_200.png,K-003483-016232-019861-022347_0_2_0_2_75_000_200_crop0.png,"[128, 201, 329, 395]",52,0.9777,
K-003483-016232-019861-022347_0_2_0_2_75_000_200.png,K-003483-016232-019861-022347_0_2_0_2_75_000_200_crop1.png,"[91, 826, 316, 1003]",5,0.9725,
K-003483-016232-019861-022347_0_2_0_2_75_000_200.png,K-003483-016232-019861-022347_0_2_0_2_75_000_200_crop2.png,"[573, 835, 834, 1066]",3,0.9569,
K-003483-016232-019861-022347_0_2_0_2_75_000_200.png,K-003483-016232-019861-022347_0_2_0_2_75_000_200_crop3.png,"[620, 172, 802, 352]",20,0.9555,
K-003483-016232-019861-022347_0_2_0_2_90_000_200.png,K-003483-016232-019861-022347_0_2_0_2_90_000_200_crop0.png,"[145, 209, 351, 406]",52,0.9728,
K-003483-016232-019861-022347_0_2_0_2_90_000_200.png,K-003483-016232-019861-022347_0_2_0_2_90_000_200_crop1.png,"[126, 864, 347, 1033]",5,0.9663,
K-003483-016232-019861-022347_0_2_0_2_90_000_200.png,K-003483-016232-019861-022347_0_2_0_2_90_000_200_crop2.png,"[645, 175, 836, 363]",20,0.9598,
K-003483-016232-019861-022347_0_2_0_2_90_000_200.png,K-003483-016232-019861-022347_0_2_0_2_90_000_200_crop3.png,"[601, 866, 860, 1097]",3,0.9512,
K-003483-016232-019861-028763_0_2_0_2_70_000_200.png,K-003483-016232-019861-028763_0_2_0_2_70_000_200_crop0.png,"[642, 276, 858, 445]",5,0.9704,
K-003483-016232-019861-028763_0_2_0_2_70_000_200.png,K-003483-016232-019861-028763_0_2_0_2_70_000_200_crop1.png,"[152, 219, 396, 438]",3,0.9597,
K-003483-016232-019861-028763_0_2_0_2_70_000_200.png,K-003483-016232-019861-028763_0_2_0_2_70_000_200_crop2.png,"[144, 899, 340, 1092]",20,0.9583,
K-003483-016232-019861-028763_0_2_0_2_70_000_200.png,K-003483-016232-019861-028763_0_2_0_2_70_000_200_crop3.png,"[632, 886, 851, 1100]",68,0.9515,
K-003483-016232-019861-028763_0_2_0_2_75_000_200.png,K-003483-016232-019861-028763_0_2_0_2_75_000_200_crop0.png,"[131, 172, 339, 369]",68,0.9755,
K-003483-016232-019861-028763_0_2_0_2_75_000_200.png,K-003483-016232-019861-028763_0_2_0_2_75_000_200_crop1.png,"[91, 826, 316, 1003]",5,0.9728,
K-003483-016232-019861-028763_0_2_0_2_75_000_200.png,K-003483-016232-019861-028763_0_2_0_2_75_000_200_crop2.png,"[573, 835, 834, 1067]",3,0.955,
K-003483-016232-019861-028763_0_2_0_2_75_000_200.png,K-003483-016232-019861-028763_0_2_0_2_75_000_200_crop3.png,"[619, 172, 803, 353]",20,0.9542,
K-003483-016232-019861-028763_0_2_0_2_90_000_200.png,K-003483-016232-019861-028763_0_2_0_2_90_000_200_crop0.png,"[148, 178, 359, 379]",68,0.9695,
K-003483-016232-019861-028763_0_2_0_2_90_000_200.png,K-003483-016232-019861-028763_0_2_0_2_90_000_200_crop1.png,"[126, 864, 346, 1033]",5,0.965,
K-003483-016232-019861-028763_0_2_0_2_90_000_200.png,K-003483-016232-019861-028763_0_2_0_2_90_000_200_crop2.png,"[645, 175, 836, 362]",20,0.957,
K-003483-016232-019861-028763_0_2_0_2_90_000_200.png,K-003483-016232-019861-028763_0_2_0_2_90_000_200_crop3.png,"[601, 866, 860, 1097]",3,0.9559,
K-003483-016232-019861-030308_0_2_0_2_70_000_200.png,K-003483-016232-019861-030308_0_2_0_2_70_000_200_crop0.png,"[642, 277, 857, 446]",5,0.9677,
K-003483-016232-019861-030308_0_2_0_2_70_000_200.png,K-003483-016232-019861-030308_0_2_0_2_70_000_200_crop1.png,"[145, 899, 339, 1092]",20,0.9605,
K-003483-016232-019861-030308_0_2_0_2_70_000_200.png,K-003483-016232-019861-030308_0_2_0_2_70_000_200_crop2.png,"[152, 219, 397, 439]",3,0.9605,
